0	3	0
1	10	0
2	141	2
3	758	13
4	1325	24
5	1295	24
6	1019	20
7	1582	26
8	1367	23
9	1230	22
10	1552	26
11	1432	25
12	1600	27
13	1711	27
14	1570	26
15	1554	28
16	1697	26
17	1733	28
18	1626	28
19	1899	29
20	1702	28
21	1691	28
22	1957	30
23	1626	26
24	1634	24
25	1749	27
26	1755	26
27	1979	30
28	1936	30
29	1789	27
30	1869	28
31	1721	28
32	1917	30
33	1915	29
34	1778	29
35	1858	30
36	1905	28
37	1891	29
38	1950	30
39	1791	29
40	1977	30
41	1768	28
42	2040	30
43	1966	30
44	2032	30
45	1868	29
46	1901	30
47	1744	29
48	2014	30
49	1906	29
50	1742	28
51	1910	29
52	1982	30
53	2004	30
54	1948	30
55	2083	30
56	1914	30
57	2015	29
58	1889	29
59	1835	28
60	1955	30
