0	22	0
1	7	0
2	5	0
3	59	1
4	241	5
5	324	9
6	639	11
7	315	8
8	620	9
9	531	10
10	764	17
11	598	11
12	486	10
13	577	11
14	819	15
15	684	15
16	1151	20
17	1145	20
18	1569	26
19	1404	24
20	1540	24
21	1514	26
22	1605	26
23	1740	29
24	1505	25
25	1719	26
26	1673	26
27	1725	26
28	1769	26
29	1950	29
30	1712	27
31	1485	23
32	1591	26
33	1900	29
34	1743	28
35	1687	26
36	1744	28
37	1876	29
38	1770	28
39	1707	27
40	1599	24
41	1881	29
42	1748	26
43	1595	24
44	1742	28
45	1709	28
46	1688	26
47	1958	30
48	1866	29
49	1779	28
50	1842	28
51	1724	26
52	1904	30
53	1699	26
54	1871	30
55	1627	25
56	1715	29
57	1806	29
58	1843	30
59	1630	27
60	1741	29
