0	36	0
1	147	1
2	173	2
3	175	2
4	433	6
5	526	9
6	1275	21
7	1355	24
8	1308	24
9	1403	25
10	1126	24
11	1223	22
12	1445	24
13	1173	22
14	1321	25
15	1395	26
16	1567	27
17	1052	24
18	1180	20
19	1285	24
20	1339	24
21	1218	22
22	1188	22
23	1247	21
24	1442	24
25	1309	22
26	1522	25
27	1437	26
28	1168	21
29	1398	27
30	1165	21
31	1435	26
32	1197	21
33	1433	26
34	1260	22
35	1019	20
36	1402	25
37	1421	25
38	1348	26
39	1357	22
40	998	20
41	1233	23
42	1053	21
43	1169	23
44	1275	23
45	1202	18
46	1239	24
47	1424	23
48	1319	24
49	1185	22
50	1416	25
51	1264	22
52	1352	22
53	1228	21
54	1292	22
55	1365	24
56	1554	27
57	1219	21
58	1331	24
59	1100	18
60	1321	22
