0	8	0
1	41	1
2	55	3
3	581	26
4	1143	53
5	1445	63
6	1514	65
7	1634	70
8	1625	65
9	1716	73
10	1769	74
11	1863	76
12	1857	72
13	1921	76
14	1932	75
15	1867	75
16	1907	77
17	2020	78
18	1896	75
19	1881	73
20	1915	74
21	1927	76
22	1928	78
23	1908	75
24	1914	77
25	1977	74
26	1940	76
27	1982	76
28	1821	73
29	1898	71
30	1871	75
31	1911	76
32	1926	78
33	1885	78
34	1928	76
35	1839	74
36	1861	75
37	1932	74
38	1969	77
39	1935	74
40	1808	72
41	1914	75
42	1932	77
43	1949	75
44	1894	75
45	1731	72
46	1895	75
47	1936	73
48	1969	78
49	1856	74
50	1848	75
51	1802	68
52	1780	69
53	1914	76
54	1805	70
55	1847	75
56	2013	75
57	1932	75
58	1860	71
59	1796	72
60	1923	76
